id,mesa,numero,cor,paridade,horario_brasilia,iniciado_utc,finalizado_utc,numeros_sorte
pp-18137826711,Auto Mega Roulette (Pragmatic),23,Vermelho,Impar,2026-09-26 00:00:01,,2026-09-26T03:00:01.000Z,8x150 17x150 27x150
pp-18137827111,Speed Auto Roulette (Pragmatic),35,Preto,Impar,2026-09-26 00:00:02,,2026-09-26T03:00:02.000Z,
pp-18137827311,Auto Roulette (Pragmatic),32,Vermelho,Par,2026-09-26 00:00:07,,2026-09-26T03:00:07.000Z,
tm-01a0dba7-e386-72c6-96df-03abce6d983e,Auto-Roulette VIP,14,Vermelho,Par,2026-09-26 00:00:08,,2026-09-26T03:00:08.196Z,
6ab7353b8a93c122e04521f4,Auto Roulette (Evolution),23,Vermelho,Impar,2026-09-26 00:00:11,2026-09-26T02:59:34.735Z,2026-09-26T03:00:11.604Z,
tm-01a0dba8-17d6-75be-85c3-374279e88d38,Immersive Roulette,24,Preto,Par,2026-09-26 00:00:21,,2026-09-26T03:00:21.589Z,
tm-01a0dba8-4e89-7048-abc3-34e4acc7d99b,Roleta Ao Vivo,18,Vermelho,Par,2026-09-26 00:00:35,,2026-09-26T03:00:35.592Z,
pp-18137828211,Speed Auto Roulette (Pragmatic),23,Vermelho,Impar,2026-09-26 00:00:37,,2026-09-26T03:00:37.000Z,
pp-18137828411,Auto Mega Roulette (Pragmatic),1,Vermelho,Impar,2026-09-26 00:00:42,,2026-09-26T03:00:42.000Z,0x200 6x150
pp-18137828911,Auto Roulette (Pragmatic),24,Preto,Par,2026-09-26 00:00:47,,2026-09-26T03:00:47.000Z,
6ab735678a93c122e04521ff,Auto Roulette (Evolution),12,Vermelho,Par,2026-09-26 00:00:55,2026-09-26T03:00:14.707Z,2026-09-26T03:00:55.099Z,
tm-01a0dba8-bc3e-727a-b7af-36596fd1912b,Auto-Roulette VIP,16,Vermelho,Par,2026-09-26 00:01:03,,2026-09-26T03:01:03.656Z,
tm-01a0dba8-d201-7203-b7fa-6cee08621956,Immersive Roulette,29,Preto,Impar,2026-09-26 00:01:09,,2026-09-26T03:01:09.249Z,
pp-18137829811,Speed Auto Roulette (Pragmatic),14,Vermelho,Par,2026-09-26 00:01:10,,2026-09-26T03:01:10.000Z,
tm-01a0dba8-fc59-72ce-890a-2e4b95a72791,Roleta Ao Vivo,9,Vermelho,Impar,2026-09-26 00:01:20,,2026-09-26T03:01:20.089Z,
pp-18137830211,Auto Mega Roulette (Pragmatic),17,Preto,Impar,2026-09-26 00:01:26,,2026-09-26T03:01:26.000Z,10x100 20x100 24x50
pp-18137830411,Auto Roulette (Pragmatic),26,Preto,Par,2026-09-26 00:01:26,,2026-09-26T03:01:26.000Z,
6ab735918a93c122e0452208,Auto Roulette (Evolution),7,Vermelho,Impar,2026-09-26 00:01:37,2026-09-26T03:00:58.186Z,2026-09-26T03:01:37.589Z,
pp-18137831511,Speed Auto Roulette (Pragmatic),31,Preto,Impar,2026-09-26 00:01:43,,2026-09-26T03:01:43.000Z,
tm-01a0dba9-8ec6-72fc-b166-2c2708eddd62,Immersive Roulette,28,Preto,Par,2026-09-26 00:01:57,,2026-09-26T03:01:57.573Z,
tm-01a0dba9-9e67-779c-b21d-044cd6c87953,Auto-Roulette VIP,17,Preto,Impar,2026-09-26 00:02:01,,2026-09-26T03:02:01.574Z,
